Title,Meaning,Context,Notes
3PAO,Third Party Assessment Organization,FedRAMP requires a 3PA0 to verify the attestations made in an SSP,
AAA,"Authentication, Authorization & Access",,
AAA,Abdominal Aortic Aneurysm,,
AAA,Area Agencies on Aging,,
ACRE,"A measure of land 43,560 sq. ft.",,
AHLTA,Armed Forces Health Longitudinal Technology Application,DoD electronic medical record system, also known as EMR
FOO,For Obfuscating Obvious Information Def 1,This is a sample context, This is a sample note
FOO,For Obfuscating Obvious Information Def 2,This is a sample context, This is a sample note
FOOI,For Obfuscating Obvious Information Def 3,This is a sample context, This is a sample note
VBA,Veterans Benefits Administration,VA,
